unqProductCategoryId,unqProductId,vchSegmentCode,vchSegmentDescription,vchFamilyCode,vchFamilyDescription,vchClassCode,vchClassDescription,intBrickCode,"vchBrickDescription""",vchProductName,bitConsumerUnit,datModified,datPublished,vchTargetMarket,vchReferenceId,vchBrandName,unqProductClaimId,bitGlutenFree,bitKosher,bitMsgFree
8AD98CD6-F1B9-43D6-B6D4-0955A620212D,B0D6BDF5-A156-4A5F-BDD8-00E55639ED2A,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, CELERY FLAKES, 3.5OZ",1,2016-09-14 13:52:59,2016-09-14 14:12:37,US,cFqK7q,DURKEE,F06DB1F9-4B4D-46C9-B993-022B463C0F7A,1.0,1.0,
86CCD648-8EC2-4805-96D8-0AE55609A4CC,97BD161E-F4FB-45C0-A83E-F3B3A2FB50BA,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, MEAT TENDERIZER, UNSEASONED, 34OZ",1,2016-09-14 11:37:32,2016-09-14 12:12:29,US,aT0sZ3,DURKEE,C653E019-5678-4813-874D-5C103F2F9FD1,1.0,1.0,
C3A6E90F-5F1F-4398-8EEB-0B48BCEF7B94,C3F5BDF6-C0EE-4ACC-AA34-32AE759062DA,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, CUMIN SEED, GROUND, 25LB",1,2016-09-14 11:12:38,2016-09-14 11:12:52,US,W73FMl,DURKEE,8F93A98A-DF86-46E6-BFA5-87104D065D9A,1.0,1.0,
0DD8BB75-D6E9-4A2B-A573-0CA0D4494DC1,E283AAEF-6A88-4B1D-A9FC-A5116DC6C8B9,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000050,Extracts/Salt/Meat Tenderisers (Shelf Stable),"DURKEE, PURE EXTRACT, LEMON, 16FO",1,2016-03-28 16:33:04,2016-11-08 17:12:13,US,LUZdrK,DURKEE,170E615B-1901-4D05-8083-0461EEA034CB,,,
3E6481B5-2E38-423A-93E5-0D00EACE78D1,62EE4C0E-0119-4478-8673-896754AD1DEC,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, CHIPOTLE CHILE, GROUND, 18OZ",1,2016-09-14 12:34:57,2016-09-14 13:12:56,US,Fom7P0,DURKEE,96B72B94-BC0C-472C-BCF2-5F77F7A37EE0,1.0,1.0,
805B6CC6-DA62-4FE4-86A4-0DB83BF66175,B91C9F1D-03F2-4112-9A70-75C303BD1EEE,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, CAJUN RUB, 21OZ",1,2016-09-14 12:08:51,2016-09-14 12:12:30,US,h9bW57,DURKEE,AF9951C9-4C04-4E9D-AE21-232AB498424E,1.0,1.0,
EA8022D1-A92A-4D94-9DA8-0DF12227C0CF,3F33ADEE-CB3C-4FF1-87A0-803F3EC72C88,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, BURGUNDY BEEF, 25LB",1,2016-09-26 10:15:05,2016-09-26 11:13:07,US,B7sLpW,DURKEE,F5B71423-DFAE-4941-AEAE-043C37633CB6,,,
BCBCAE1F-863F-416E-A0C8-0E223A727B70,AEDBEF1E-2187-4E52-A88E-267613AE3CB1,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, ONION, POWDER, 20OZ",1,2016-09-14 11:49:21,2016-09-14 12:12:28,US,J0BGj7,DURKEE,216021A2-9086-49C3-94AF-EA47119BDB9B,1.0,1.0,
C223B89A-FB25-4D68-BF49-0E7680C4FE25,A5DBBACF-2016-4BF8-88E7-A13D23D31B0D,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, MARJORAM, WHOLE, 3.5OZ",1,2016-09-14 11:37:31,2016-09-14 12:12:27,US,mWDMhx,DURKEE,E063A833-C8A9-4E25-AD71-A1EA4D3729BC,1.0,1.0,
ECA0BEAC-CE9F-4191-BB6F-105EED7B79B3,C400A9AC-F0B9-4F64-ABE7-3F00A19D12A4,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, SESAME SEED, 5.5LB",1,2016-09-14 11:52:40,2016-09-14 12:12:28,US,RP4yFZ,DURKEE,0F621248-1B41-40ED-85E3-3A7F6C7DCC73,1.0,1.0,
A54C9253-09F6-487F-A8CF-10AC6FF0B4C5,335DDD4E-05FE-4F18-9935-3A6E5C411F20,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, ONION, GRANUALTED, 6LB",1,2016-09-14 13:42:52,2016-09-14 14:12:37,US,hVVPAw,DURKEE,98F4DF56-D2D5-49E8-B99F-6E2DE3DFF945,1.0,1.0,
A95B23D9-B6A4-4296-A1A2-1289F030CBA1,3C63B342-23BE-4CE4-8B6F-7D35A17E4093,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, LOUISIANA SEASONING, CAJUN, 25LB",1,2016-09-14 12:18:59,2016-09-14 13:12:56,US,DM35rQ,DURKEE,96591D3B-563B-469A-93E1-68127C03CD1A,1.0,1.0,
E38E825F-52EC-4A86-8D39-12C2B43C5102,E2336C84-A0F7-441E-8552-772B1C568F12,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, TARRAGON, LEAVES, 4OZ",1,2016-09-14 11:49:19,2016-09-14 12:12:28,US,iKrazv,DURKEE,0016513A-BA81-43AC-8E8C-F0A0B2EEC25E,1.0,1.0,
D0EF21E6-CBA2-4621-87AA-12C2FF594221,916DEED0-99B3-468E-9D28-D30F673758C6,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000050,Extracts/Salt/Meat Tenderisers (Shelf Stable),"DURKEE, IMITATION FLAVOR, VANILLA, 128FO",1,2016-03-28 16:51:15,2016-11-08 17:12:14,US,HDRrkB,DURKEE,0ACE5CC7-FE8F-4AB9-9A3A-ED0C34669ADA,,,
85464EDC-C0B7-441D-B3C9-135610FB6C8B,472999B5-1556-48A7-B3DE-216D597061AA,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, OREGANO LEAVES, 5.5LB",1,2016-09-14 11:17:00,2016-09-14 12:12:26,US,otyCLm,DURKEE,A8215176-F9F6-44B4-98E3-578A2F8DC025,1.0,1.0,
F733BCE6-32C9-42F5-BCA1-137FA1326349,3FA4F354-ACDC-4E37-93BD-200DE4956E06,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, WHITE PEPPER, GROUND, 17OZ",1,2016-09-14 11:44:46,2016-09-14 12:12:28,US,MWmKqE,DURKEE,BBE1C249-49D9-4431-AD42-07F3E06CE9E7,1.0,1.0,
264394CA-4E4F-4147-97CA-141694DCE1EA,C1D43B37-C31B-4384-B41C-C91C6D7A391A,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, GARLIC, POWDER, 6LB",1,2016-09-14 11:57:32,2016-09-14 12:12:29,US,VvzkpN,DURKEE,D9C57A54-7707-4805-890C-0B1448453635,1.0,1.0,
89E021A3-C336-4ED2-8E1E-1426E6023855,C4861407-2E93-4DFE-AD12-9D0D33FAC0BA,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, STEAK SEASONING, NO SALT, 23 OZ",1,2016-09-14 13:55:26,2016-09-14 14:12:38,US,wRULzD,DURKEE,FFD7D5FE-B597-4834-86A4-B3FA0EFFAB9B,,1.0,
8643285C-0E7D-4EF4-BF6D-15773782FBC8,78C9FE52-2E45-4A10-B2B0-542D439BF2F3,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, CUMIN SEED, 16OZ",1,2016-11-02 16:42:40,2016-11-02 17:12:20,US,p6pk2k,DURKEE,DF4C669B-26CB-46DE-B51D-34B9852D5E69,1.0,1.0,
7F47B8D1-F806-4E67-AF6A-1A5214E58EC1,03F1E0EF-910C-40F1-B6DC-6220D3270EE1,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, PEPPERCORN MEDLEY, 16OZ",1,2016-09-14 11:22:41,2016-09-14 12:12:27,US,zZOdzT,DURKEE,7441CEA3-42D0-48FA-A0E7-48E4117EF7F1,1.0,1.0,
058E2002-F168-4710-BA26-1A93081CD67A,6164E054-ECEA-4381-95F0-49D52F6B4BAB,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, SPICY PASTA SEASONING, 12OZ",1,2016-12-09 15:10:14,2016-12-09 15:12:45,US,giQGz5,DURKEE,245ED5A3-B14C-4506-AF40-C350B394A3A2,1.0,1.0,
59AEA789-C7D3-4D02-9FC5-1B5446E6E333,907E0AC3-A02E-46A5-B2F5-CDF988DAA2A0,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000050,Extracts/Salt/Meat Tenderisers (Shelf Stable),"DURKEE, LIQUID SMOKE, 128FO",1,2016-09-14 13:42:51,2016-09-14 14:12:37,US,2vD3aF,DURKEE,DB9A1E05-1F93-4138-BDB4-03479F7DF036,1.0,,
E51DBD78-C21A-4EF7-84BB-1B612B59DBDF,FDC10AFF-53BC-41D2-A26C-0086737B7149,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, THYME LEAVES, 33OZ",1,2016-09-14 11:52:43,2016-09-14 12:12:28,US,xhzMIU,DURKEE,6B682DBB-49E8-4D20-BFAA-171B89AC0757,1.0,1.0,
C14F38D9-3B63-457C-8D92-1B7C48EDE813,F9C0D2B8-A4E9-4A84-9090-B2CDB633057D,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, PAPRIKA, 25LB",1,2016-09-14 12:23:38,2016-09-14 13:12:56,US,Nd2QIL,DURKEE,BB2D4E4A-088B-4031-860F-4B777FFE9756,1.0,1.0,
EB395EBE-BDA4-4595-95E2-1BAA2E83C4A0,F58321E4-100A-42BB-8C30-EAF2126AFA52,50000000,Food/Beverage/Tobacco,50170000,Seasonings/Preservatives/Extracts,50171500,Herbs/Spices/Extracts,10000049,Herbs/Spices (Shelf Stable),"DURKEE, CHILI SEASONING, 25LB",1,2016-10-25 13:12:15,2016-10-25 14:12:18,US,eYunhH,DURKEE,9FFB8DA1-3B26-4092-9B68-EEB2CDEEA594,1.0,1.0,
